ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
1,Cupeño,cupe1243,Cupeño,cup,North America,33.3148,-116.515,Uto-Aztecan
2,Cahuilla,cahu1264,Cahuilla,chl,North America,33.5324,-116.691,Uto-Aztecan
3,Luiseño,luis1253,Luiseno-Juaneño,lui,North America,33.3184,-116.939,Uto-Aztecan
4,Serrano,serr1255,Serrano,ser,North America,33.9479,-116.772,Uto-Aztecan
5,Kawaiisu,kawa1283,Kawaiisu,xaw,North America,36.0538,-118.679,Uto-Aztecan
6,Western Mono,mono1275,Mono (USA),mnr,North America,37.1935,-119.347,Uto-Aztecan
7,Chemehuevi,chem1251,Chemehuevi,ute,North America,35.356093,-116.438436,Uto-Aztecan
8,Southern Paiute,sout2969,Southern Paiute,ute,North America,37.0,-114.0,Uto-Aztecan
9,Southern Ute,utee1244,Ute,ute,North America,38.0,-109.0,Uto-Aztecan
10,Comanche,coma1245,Comanche,com,North America,34.0,-101.0,Uto-Aztecan
11,Northern Paiute,nort2954,Northern Paiute,pao,North America,40.0799,-119.536,Uto-Aztecan
12,Yuma,quec1382,Quechan,yum,North America,32.7859,-114.599,Cochimi-Yuman
13,Tümpisa Shoshone,pana1305,Panamint,par,North America,36.0007,-117.901,Uto-Aztecan
14,Yokuts Palewyami,pale1254,Palewyami Yokuts,yok,North America,35.556742,-119.073757,Yokutsan
15,Central Sierra Miwok,cent2140,Central Sierra Miwok,csm,North America,38.0812,-120.257,Miwok-Costanoan
16,Esselen,esse1238,Esselen,esq,North America,36.5473,-121.867,Esselen
17,Gabrielino,tong1329,Tongva,ser,North America,34.1,-118.11,Uto-Aztecan
18,Kitanemuk,serr1255,Serrano,ser,North America,33.9479,-116.772,Uto-Aztecan
19,Maidu,nort2952,Northeast Maidu,nmu,North America,40.4102,-120.645,Maiduan
20,Mutsun,muts1243,Mutsun,css,North America,36.84721,-121.44911,Miwok-Costanoan
21,Nisenan,nise1244,Nisenan,nsz,North America,38.047,-120.393,Maiduan
22,Northern Sierra Miwok,nort2968,Northern Sierra Miwok,nsq,North America,38.4179,-120.588,Miwok-Costanoan
23,Plains Miwok,plai1259,Plains Miwok,pmw,North America,38.39772,-121.653344,Miwok-Costanoan
24,Salinan M,sali1253,Salinan,sln,North America,37.6646,-121.718,Salinan
25,Southern Sierra Miwok,sout2985,Southern Sierra Miwok,skd,North America,38.2363,-120.507,Miwok-Costanoan
26,Tübatulabal,tuba1278,Tübatulabal,tub,North America,35.327,-117.163,Uto-Aztecan
27,Washo,wash1253,Washo,was,North America,38.8184,-119.64,Washo
28,Wintu,wint1259,Wintu,wit,North America,39.7176,-122.445,Wintuan
29,Yokuts Yawdanchi,yoku1256,Northern Yokuts,yok,North America,36.3167,-119.721,Yokutsan
30,Yuki,yuki1243,Northern Yukian,yuk,North America,39.8389,-123.296,Yuki-Wappo
31,Yavapai,hava1248,Havasupai-Walapai-Yavapai,yuf,North America,35.6302,-113.385,Cochimi-Yuman
32,Iipay 'Aa,kumi1248,Tipai,dih,North America,32.331,-116.604,Cochimi-Yuman
33,Cocopa,coco1261,Cocopa,coc,North America,32.376,-114.848,Cochimi-Yuman
34,Kiliwa,kili1268,Kiliwa,klb,North America,30.5471,-115.123,Cochimi-Yuman
35,Mojave,moha1256,Mohave,mov,North America,34.8866,-114.599,Cochimi-Yuman
36,Wappo,wapp1239,Wappo,wao,North America,38.25,-122.5,Yuki-Wappo
37,Seri (Comcaac),seri1257,Seri,sei,North America,28.9877,-112.384,Seri
38,Lake Miwok,lake1258,Lake Miwok,lmw,North America,39.0021,-122.621,Miwok-Costanoan
39,Chumash Barbareno,barb1263,Barbareño,boi,North America,34.462,-119.699,Chumashan
40,Chumash Ventureno,vent1242,Ventureño,veo,North America,34.1761,-119.035,Chumashan
41,Chumash Obispeno,obis1242,Obispeño,obi,North America,35.2873,-120.669,Chumashan
42,Chumash Cruzeno,cruz1243,Cruzeño,crz,North America,34.0465,-119.864,Chumashan
43,Chumash Ineseno,ines1240,Ineseño,inz,North America,34.6169,-120.08,Chumashan
44,Bankalachi Toloim,tuba1278,Tübatulabal,tub,North America,35.327,-117.163,Uto-Aztecan
45,Yokuts Yowlumne,yoku1256,Northern Yokuts,yok,North America,36.3167,-119.721,Yokutsan
46,Big Smokey Valley Shoshone,shos1248,Shoshoni,shh,North America,41.0,-116.0,Uto-Aztecan
47,Salinan A,sali1253,Salinan,sln,North America,37.6646,-121.718,Salinan
48,Achagua,acha1250,Achagua,aca,South America,4.38649,-72.2005,Arawakan
49,Yanesha',yane1238,Yanesha',ame,South America,-10.5454,-75.315,Arawakan
50,Apurinã,apur1254,Apurinã,apu,South America,-8.21692,-66.7714,Arawakan
51,Asheninka Apurucayali,ajyi1238,Ajyíninka Apurucayali,cpc,South America,-9.82364,-74.61947,Arawakan
52,Baniwa,bani1255,Baniwa do Icana,bwi,South America,2.17859,-67.7704,Arawakan
53,Bare,bare1276,Baré,bae,South America,1.91649,-66.828,Arawakan
54,Kabiyari ,cabi1241,Cabiyarí,cbb,South America,0.16101,-71.0622,Arawakan
56,Mandawaka,mand1448,Mandahuaca,mht,South America,1.48,-66.52,Arawakan
57,Paresi ,pare1272,Parecís,pab,South America,-14.5929,-57.4059,Arawakan
58,Piapoco ,piap1246,Piapoco,pio,South America,4.37718,-68.5953,Arawakan
59,Resígaro,resi1247,Resígaro,rgr,South America,-1.169535,-71.60524,Arawakan
60,Tariana,tari1256,Tariana,tae,South America,0.440205,-68.9042,Arawakan
61,Wapishana,wapi1253,Wapishana,wap,South America,2.58744,-59.8021,Arawakan
62,Warekena ,guar1293,Baniva de Maroa,gae,South America,1.80835,-66.922505,Arawakan
64,Yavitero,yavi1244,Yavitero-Pareni,yvt,South America,2.924844,-67.438886,Arawakan
65,Yukuna ,yucu1253,Yucuna,ycn,South America,-0.76075,-71.0033,Arawakan
66,Arutani,arut1244,Arutani,atx,South America,4.0673594,-62.8676118,Arutani
67,Sape,sape1238,Sapé,spc,South America,4.0735661,-62.9666521,Sapé
68,Bora,bora1263,Bora,boa,South America,-2.000259,-72.257066,Boran
69,Muinane ,muin1242,Muinane,bmr,South America,-0.8652,-72.4249,Boran
70,Akawaio,akaw1239,Akawaio-Ingariko,ake,South America,6.16277,-60.862,Cariban
71,Akawaio/Ingariko dialect,akaw1239,Akawaio-Ingariko,ake,South America,6.16277,-60.862,Cariban
72,Carijona,cari1279,Carijona,cbd,South America,1.21894,-72.0664,Cariban
73,Eñepa,enap1235,Panare,pbh,South America,6.95035,-65.8483,Cariban
75,Makushi ,macu1259,Macushi,mbc,South America,4.31861,-60.2209,Cariban
76,Mapoyo,mapo1246,Mapoyo,mcg,South America,5.96952,-67.2581,Cariban
77,Pemon,pemo1248,Pemon,aoc,South America,4.97031,-61.4033,Cariban
