Grapheme	IPA
vmvn	ʊ m ʊ n
ntv	n t ʊ
G_instr_pref	NULL
!	NULL
$	NULL
$h	h
%	NULL
%$	NULL
)	NULL
*	NULL
*$	NULL
**	NULL
*k)e:	k eː
*ò)mlhū	o m l̥ uː
+	+
+$	NULL
++	+
+_$	NULL
-	+
-$	NULL
-+	+
--	+
--$	NULL
-:-	NULL
-:a$	a
-??	NULL
-_	+
-_$	NULL
-_+_clas	NULL
-_+_plural$	NULL
-_+clas	NULL
-_-plural	NULL
-_-qui	NULL
-_??$	NULL
-_SG	NULL
-__	NULL
-__$	NULL
-__p._$	NULL
-_hi-uv	NULL
-_main	NULL
-_p._$	NULL
-_similar_to_this_species	NULL
-_that	NULL
-_to_dry_$	NULL
-_to_open$	NULL
-_to_scratch$	NULL
-_you_plur$	NULL
.	NULL
/	NULL
:	NULL
:a$	NULL
:h	h
:i$	i
:l	l
:m	m
:n	n
;	NULL
<	NULL
<$	NULL
=	+
=$	NULL
=+	+
=-	+
==	+
=_$	NULL
=h	+ h
=h=h	NULL
=s	+ s
=w	+ w
>	NULL
>$	NULL
>w	w
?	ʔ
?$	ʔ
??$	NULL
???	NULL
?h	h
?s	ˀs
?w	w
?́$	NULL
@	ə
@$	ə
@h	ə j
@h$	ə h
@s	ə s
A	a
A$	a
A:	ɑː
A:$	ɑː
A:h	aː h
AA	aː
Ah	ɑ h
As	ɑ s
B	b
B$	b
C	c
C$	NULL
CH	tʃ
Ch	tʃ
D	d
E	ɛ
E$	ɛ
E:	eː
Eh	e h
Esh	e ʃ
F	f
F$	NULL
G	ɣ
G$	ɢ
H	h
H$	h
H:$	h
Hh$	h
Hsh	ʃ
Hw	hʷ
I	ɪ
I$	ɪ
I:	NULL
Ih	ɪ h
Is	ɪ s
Is$	i s
Ish	i ʃ
Iw	i w
J	NULL
K	k
K$	k
L	l
L$	l
LF	NULL
Lh	l h
M	m
M$	m
N	n
N$	n
O	ɔ
O$	ɔ
O:	oː
O:w	oː w
OO	oː
OO$	oː
Oh	o h
Oh$	o h
Os	o s
Ow	o w
O|	o
P	p
P$	p
Q	q
R	r
R$	r
RR	rː
RR$	rː
S	ʃ
S$	ʃ
SS	sː
T	t
T$	t
T:	tː
TT	tː
TT$	tː
Th	θ
Th$	θ
Ts	ts
Tsh	tʃ
Tw	tʷ
U	u
U$	u
UU	uː
Us	u s
Uw	u w
V	ə
V$	v
W	w
W$	w
X	x
X$	x
X:	xː
Y	y
Y$	y
Y:	yː
Y:$	yː
Y:h	yː
Yh	y h
Ys	y s
\	NULL
\$	ʔ
\:	ʔ
\:h	h
\h	h
\s	s
\sw	sʷ
\w	ˀw
^	NULL
^$	<?>
^$h	h
^*	NULL
^*h	h
^*s	s
^*w	w
^+	NULL
^-	NULL
^-_	NULL
^._	NULL
^._-	NULL
^:	NULL
^:$	NULL
^:h	h
^:l$	l
^:m	m
^:s	s
^:s$	s
^<w	w
^=	NULL
^>	NULL
^>h	h
^?	ʔ
^?+?aaw-=kw-+uhaa-m	kʷ u h aː
^??	NULL
^??$	NULL
^??-	NULL
^?h	h
^?w	w
^A	a
^A:	ɑː
^B	β
^CHIW	tʃ i w
^D	d
^E	e
^G	g
^H	h
^Hsh	h ʃ
^I	ɨ
^I$	i
^I:$	ɪː
^J	j
^K	k
^L	l
^L$	l
^M	m
^N	n
^O	o
^O:	oː
^O:w	oː w
^Os	o s
^P	p
^R	r
^RR	rː
^S	ʃ
^Sw	sʷ
^T	t
^T$	t
^Th	tʰ
^U	u
^Uhm	u ʰm
^V	v
^V́	v
^W	w
^X	ʂ
^Y	y
^_	NULL
^_-	NULL
^a	a
^a$	a
^a:	aː
^a:$	aː
^a:pk__H_I:_ata:p__H:	aː p k
^aa	aː
^aa$	aː
^aaa	aː
^aː	aː
^b	b
^b$	b
^b:	bː
^bb	bː
^bh	bʰ
^blw	b l ɯ
^bs	b s
^bɕ	b ɕ
^bʃ	b ʃ
^c	ts
^c$	ts
^c:	cː
^cc	tʃ
^ch	tsʰ
^ch$	tsʰ
^chch	tʃː
^chh	tʃ
^chw	tʃʷ
^cs	ts
^cw	cʷ
^c̷	c
^d	d
^d$	d
^d:$	dː
^dd	dː
^dh	dʰ
^ds	dz
^dʒ	dʒ
^dʸ	dʲ
^d̨	ɖ
^e	e
^e$	e
^e:	eː
^e:$	eː
^ee	eː
^ee$	eː
^eee	eː
^f	f
^fw	fʷ
^g	g
^g$	g
^gg	gː
^gh	gʰ
^gs	g s
^gw	gʷ
^h	h
^h$	h
^h-=kwir-u	h + kʷ i r + u
^h:	hː
^hi:k_,_be_alive_or_well”	h i k
^hw	hʷ
^hʷ	hʷ
^i	i
^i$	i
^i:	iː
^i:$	iː
^i:i:$	iː iː
^ii	iː
^ii$	iː
^iii	iː
^iː	iː
^i̯	i
^j	j
^j$	j
^j:	iː
^jw	dʒ w
^k	k
^k$	k
^k:	kː
^k:$	kː
^kal:a_\_kadla	k a lː a
^kh	kʰ
^khw	kʷʰ
^khʷ	kʷʰ
^kopvrrlh_FW_lagoons;_flat_forehead,_thick_flat_tail	k o p ʌ rː l̥
^ks	k s
^ksh	k ʃ
^kw	kʷ
^kws	kʷ s
^kwsh	kʷ ʃ
^kʰ	kʰ
^kʰʷ	kʷʰ
^kʷ	kʷ
^kʷ$	kʷ
^kˀ	kˀ
^k̃	k
^l	l
^l$	l
^l:	lː
^lh	lʰ
^lil:e-m:-t:Y--hY:	l i l e m
^ll	lː
^lw	lʷ
^lw:s$	l ɯː s
^m	m
^m$	m
^mh	m̥
^mhw	m̥ʷ
^miy=kw-x+al=u=h-=h+uuy	m i j kʷ + x
^mm	mː
^mm$	mː
^moi_._Also_large_flute	m oi
^ms	m s
^msh	m ʃ
^mw	mʷ
^mʷ	mʷ
^n	n
^n$	n
^n:$	nː
^napuracüe__,_,_,_	n a p u r a c y e
^naxetü__-,_,_	n a x e t y
^naĩ_,_	n a ĩ
^nh	nʰ
^nn	nː
^noswe_s”,_nosso	n o sʷ e
^nw	n w
^nʸ	nʲ
^o	o
^o$	o
^o:	oː
^o:$	oː
^oo	oː
^oo$	oː
^ooo	oː
^oʰk	o ʰk
^p	p
^p$	p
^pe-var”__-	p e + v a r
^peyã̇w	p e j ã w
^ph	pʰ
^pp	pː
^ps	p s
^ps$	p s
^psh	p ʃ
^pw	pʷ
^pʃ	p ʃ
^pʰ	pʰ
^pˀ	pˀ
^q	q
^q$	q
^qh	qʰ
^qq	qː
^qs	q s
^qsh	q ʃ
^qw	q w
^r	r
^rh	r̥
^rr	rː
^rrr	rː
^s	s
^s$	s
^s:h$	sː h
^saasi_-_sa?asi_	s aː s i
^sh	ʃ
^ss	sː
^sw	sʷ
^sˀ	sˀ
^t	t
^t$	t
^t:	tː
^th	tʰ
^ts	ts
^ts$	ts
^tsh	tsʰ
^tss	ts
^tsw	tsʷ
^tsʰ	tsʰ
^tt	tː
^tw	tʷ
^tɕ	tɕ
^tʂ	ʈʂ
^tʃ	tʃ
^tʃh	tʃʰ
^tʰ	tʰ
^tʸ	tʲ
^tˀ	tˀ
^t̪	t
^t͡ʃʰ	tʃʰ
^u	u
^u$	u
^u:	uː
^uu	uː
^uu$	uː
^uuu	uː
^uˀ	u ʔ
^v	v
^vh	v̥
^w	w
^w$	w
^wh	w̥
^wiḍu	w i ɖ u
^wʰ	wʰ
^x	x
^xs	ʃ
^xsh	x ʃ
^xw	xʷ
^xʃ	x ʃ
^xʷ	xʷ
^y	y
^y$	y
^y:	yː
^y:$	yː
^yy	yː
^yy$	yː
^z	z
^zh	ʒ
^z̨	z̨
^z̨amaka	ʐ a m a k a
^~gɨtagũ̵	g ɨ t a g ʉ̃
^¢	tʃ
^´	ʔ
^à	a
^àw	a w
^á	a
^á:	aː
^áá	aː
^áː	aː
^â	a
^ã	ã
^ã$	ã
^ãã	ãː
^ã́	ã
^ã́$	ã
^ä	æ
^ä$	æ
^æ	æ
^æ̃	æ̃
^æ̃$	æ̃
^æ̃æ̃	æ̃ː
^æ̨	æ̃
^ç	ɕ
^è	e
^é	e
^é$	e
^é:	eː
^é:w	eː w
^é:ʒ	eː ʒ
^és	e s
^éw	e w
^éw$	e w
^éé	eː
^éː	eː
^ês	e s
^êê	eː
^ë	e
^ë$	ə
^ëh	ə h
^ës	e s
^ësh	e ʃ
^ëw	e w
^ëë	eː
^ì	i
^ì:	iː
^ì:h	iː h
^ìs	i s
^í	i
^í$	i
^í:	iː
^íí	iː
^íí$	iː
^íː	iː
^ï	ɨ
^ïh	ɨ h
^ïw	ɨ w
^ïw$	i w
^ïï	ɨː
^ï̃ï̃	ĩ
^ð	ð
^ñ	ɲ
^ñh	ɲ̊
^ò	o
^ó	o
^ó$	o
^ó:	oː
^óh	o h
^ós	o s
^óó	oː
^ô	o
^õ	õ
^õ$	õ
^õõ	õː
^õõ$	õː
^ö	ø
^ö$	œ
^öw	œ w
^ù	u
^ú	u
^ú$	u
^ú:	uː
^úú	uː
^û	u
^û:	uː
^ûh	u h
^ü	y
^ü$	y
^üsh	y ʃ
^Ā	aː
^ā	aː
^ā$	a
^āh	aː h
^āsh	aː ʃ
^āw	aː w
^ă	ă
^ą́	ã
^ć	tʃ
^č	tʃ
^č$	tʃ
^č:	tʃː
^čh	tʃʰ
^čw	tʃʷ
^čʰ	tʃʰ
^ē	eː
^ĕh	e h
^ě$	e
^ĩ	ĩ
^ĩ$	ĩ
^ĩĩ	ĩː
^ĩĩ$	ĩː
^ĩ́	ĩ
^ī	iː
^ī:	iː
^ĵ	dʒ
^ľ̥	l̥ʲ
^ł	ɬ
^ł$	ɬ
^ŋ	ŋ
^ŋw	ŋʷ
^ō	oː
^ŏ	o
^ŏsh	o ʃ
^ş	ç
^š	ʃ
^šw	ʃʷ
^ţ	tʲ
^ũ	ũ
^ũ$	ũ
^ū	uː
^ū:	uː
^ŭ	u
^ŭ$	u
^ž	ʒ
^ǫ	õ
^ǫ́	õ
^ǫ́ǫ́	õː
^ǰ	dʒ
^ǽ̨	æ̃
^Ɂ	ʔ
^ɂ	ʔ
^ɂh	ˀh
^ɂs	ʔ
^ɂɂ	ʔ
^ɑ	ɑ
^ɑˀ	ɑ ʔ
^ɑ̃	ɑ̃
^ɓ	ɓ
^ɔ	ɔ
^ɔ$	ɔ
^ɔ-...-kupa	k u p a
^ɕ	ɕ
^ɖ	ɖ
^ɗ	ð
^ə	ə
^ə:	əː
^əə	əː
^ə̃$	ə̃
^ə̄	əː
